FIGHTER,WEIGHT,AGE,HEIGHT,REACH,STANCE,SLpM,Str. Acc %,TD Avg 15min,TD Acc %,Sub. Avg 15min,SApM,Str. Def %,TD Def. %
Alex Andrade,200 lbs.,51.55068493150685,180.34,,Orthodox,0.2,0.36,0.0,0.0,0.8,2.6,0.53,0.25
Jessica Andrade,115 lbs.,34.172602739726024,154.94,157.48,Orthodox,6.37,0.48,2.1,0.54,0.3,5.58,0.54,0.75
Viscardi Andrade,170 lbs.,41.726027397260275,180.34,190.5,Orthodox,3.26,0.42,1.93,0.5,0.3,2.77,0.63,0.66
Jermaine Andre,200 lbs.,52.37808219178082,170.18,,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fellipe Andrew,--,31.09041095890411,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dylan Andrews,185 lbs.,46.04109589041096,185.42000000000002,187.96,Switch,2.21,0.5,2.83,0.5,0.4,2.72,0.46,0.57
Reese Andy,205 lbs.,52.67123287671233,182.88,,Orthodox,2.87,0.5,0.67,0.2,0.0,3.5,0.58,0.4
Angga,145 lbs.,36.87123287671233,170.18,172.72,Orthodox,3.56,0.38,0.0,0.0,0.0,3.77,0.53,0.33
Julius Anglickas,205 lbs.,34.347945205479455,190.5,,Orthodox,4.62,0.78,4.47,0.5,1.1,1.86,0.5,0.6
Collin Anglin,145 lbs.,32.76438356164383,175.26,180.34,Orthodox,4.59,0.48,2.28,0.66,0.0,5.54,0.51,1.0
Chad Anheliger,135 lbs.,38.99178082191781,167.64000000000001,162.56,Orthodox,3.11,0.46,0.68,0.3,0.5,2.76,0.53,0.38
Yoji Anjo,205 lbs.,58.68493150684932,180.34,,Orthodox,0.0,0.0,0.0,0.0,0.0,3.13,0.25,0.0
Magomed Ankalaev,205 lbs.,33.484931506849314,190.5,190.5,Orthodox,3.65,0.52,0.79,0.22,0.0,2.59,0.56,0.87
Gadzhimurad Antigulov,205 lbs.,38.8,180.34,177.8,Orthodox,2.08,0.55,5.08,0.36,1.4,4.21,0.4,0.0
Adam Antolin,125 lbs.,43.75068493150685,165.1,160.02,Orthodox,5.73,0.52,0.0,0.0,0.0,5.0,0.69,1.0
Angelo Antonio,205 lbs.,27.14246575342466,,,Orthodox,1.09,0.5,0.0,0.0,0.0,7.64,0.5,0.0
Vanilto Antunes,170 lbs.,30.912328767123288,182.88,182.88,Orthodox,5.49,0.48,0.0,0.0,0.0,14.27,0.43,0.0
Azunna Anyanwu,251 lbs.,44.31780821917808,185.42000000000002,,Orthodox,2.47,0.42,0.65,1.0,0.0,2.47,0.69,0.0
Shinsho Anzai,170 lbs.,39.99178082191781,170.18,177.8,Orthodox,3.23,0.58,1.83,0.16,0.0,3.75,0.45,0.75
Jin Aoi,145 lbs.,28.843835616438355,167.64000000000001,172.72,Orthodox,1.6,0.29,0.0,0.0,0.0,5.8,0.51,0.71
Shinya Aoki,154 lbs.,42.558904109589044,180.34,,Southpaw,0.97,0.58,2.54,0.41,4.0,1.25,0.58,0.6
Aoriqileng,135 lbs.,32.42191780821918,170.18,175.26,Orthodox,4.69,0.49,1.2,0.46,0.0,5.47,0.48,0.58
Josh Appelt,255 lbs.,42.446575342465756,177.8,,Southpaw,1.35,0.4,0.0,0.0,0.0,11.5,0.32,0.33
Erik Apple,170 lbs.,48.26301369863014,182.88,,Orthodox,0.0,0.0,0.0,0.0,8.1,0.54,0.81,0.0
Kenji Arai,145 lbs.,46.153424657534245,177.8,,Southpaw,8.79,0.27,0.0,0.0,0.0,10.29,0.39,0.0
Romie Aram,170 lbs.,47.99452054794521,177.8,,Orthodox,1.8,0.35,2.5,0.62,0.0,2.83,0.5,0.83
Felipe Arantes,135 lbs.,37.8,172.72,185.42000000000002,Orthodox,2.37,0.45,0.93,0.47,0.7,2.66,0.64,0.41
Igor Araujo,170 lbs.,44.98082191780822,185.42000000000002,195.58,Orthodox,1.52,0.42,0.86,0.15,0.6,2.86,0.49,0.22
Viviane Araujo,125 lbs.,39.01917808219178,162.56,172.72,Orthodox,3.84,0.47,1.72,0.43,0.6,4.83,0.55,0.75
Julio Arce,145 lbs.,36.084931506849315,170.18,177.8,Southpaw,4.36,0.36,0.46,0.28,0.3,3.05,0.68,0.96
Art Arciniega,145 lbs.,44.12328767123287,172.72,,,1.53,0.46,0.0,0.0,1.0,2.73,0.51,0.5
Alice Ardelean,115 lbs.,33.605479452054794,160.02,157.48,Orthodox,7.35,0.45,1.0,0.44,0.0,5.2,0.62,0.85
Tristan Arenal,155 lbs.,40.73150684931507,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel Arges,170 lbs.,32.824657534246576,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dan Argueta,135 lbs.,32.28767123287671,170.18,172.72,Southpaw,2.48,0.43,4.36,0.35,1.4,3.44,0.5,0.55
Reza Arianto,155 lbs.,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hashem Arkhagha,185 lbs.,36.21095890410959,187.96,190.5,Orthodox,1.84,0.44,0.0,0.0,0.0,8.97,0.43,0.5
Andrei Arlovski,240 lbs.,46.81917808219178,190.5,195.58,Orthodox,3.82,0.45,0.37,0.35,0.2,3.22,0.57,0.76
Garrett Armfield,135 lbs.,29.12876712328767,167.64000000000001,177.8,Orthodox,5.35,0.53,1.1,0.5,0.6,3.64,0.56,0.64
Joey Armstrong,--,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Arnett,145 lbs.,34.0986301369863,182.88,182.88,Orthodox,4.52,0.41,0.44,0.18,0.2,6.38,0.62,0.57
Ricardo Arona,205 lbs.,47.37260273972603,180.34,,Orthodox,1.66,0.48,2.41,0.48,1.2,1.15,0.57,0.58
Eli Aronov,185 lbs.,29.471232876712328,177.8,182.88,Orthodox,8.92,0.68,12.16,1.0,0.0,6.49,0.38,0.0
Chalid Arrab,205 lbs.,50.512328767123286,180.34,,Orthodox,1.56,0.34,3.05,0.75,1.0,1.63,0.56,0.37
Akbarh Arreola,155 lbs.,42.87397260273973,177.8,180.34,Southpaw,2.32,0.45,1.07,1.0,0.4,4.01,0.56,0.33
Matt Arroyo,170 lbs.,43.24383561643835,177.8,182.88,Orthodox,1.62,0.47,2.12,0.36,5.3,2.01,0.58,1.0
Antonio Arroyo,185 lbs.,36.40821917808219,190.5,185.42000000000002,Orthodox,2.82,0.66,1.14,0.41,0.2,2.02,0.5,0.41
Gilles Arsene,190 lbs.,54.942465753424656,175.26,,Southpaw,0.06,0.1,0.0,0.0,0.0,2.45,0.32,0.0
Veta Arteaga,125 lbs.,,170.18,,,3.2,0.36,0.0,0.0,0.0,1.92,0.65,0.4
Cesar Arzamendia,155 lbs.,34.821917808219176,180.34,,Orthodox,5.37,0.45,7.32,0.75,2.4,5.2,0.56,0.0
Kai Asakura,125 lbs.,32.07123287671233,172.72,175.26,Orthodox,2.27,0.32,0.0,0.0,0.0,3.53,0.52,0.5
Teddy Ash,185 lbs.,35.917808219178085,185.42000000000002,185.42000000000002,Switch,7.27,0.61,0.0,0.0,0.0,6.8,0.28,1.0
Arman Ashimov,125 lbs.,33.868493150684934,167.64000000000001,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yanal Ashmouz,155 lbs.,30.65753424657534,175.26,175.26,Orthodox,2.88,0.5,3.24,0.38,0.0,4.78,0.5,0.64
Asjabharan,135 lbs.,33.323287671232876,167.64000000000001,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Askar Askar,145 lbs.,31.27123287671233,170.18,175.26,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Askar Askarov,125 lbs.,33.131506849315066,167.64000000000001,170.18,Orthodox,3.05,0.54,2.6,0.24,0.4,2.8,0.57,0.66
Cyril Asker,247 lbs.,39.92876712328767,182.88,187.96,Orthodox,3.35,0.39,4.41,0.62,0.9,5.82,0.35,1.0
Khusein Askhabov,145 lbs.,30.783561643835615,172.72,175.26,Orthodox,2.0,0.26,0.0,0.0,0.0,4.13,0.56,0.66
